2025_01_06-11-17-04 {'ts': 536906735099247651, 'ambient': 16775317, 'ppg0': -16465610, 'ppg1': -16476004, 'ppg2': -16444023, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099255058, 'ambient': 16775314, 'ppg0': -16465570, 'ppg1': -16475953, 'ppg2': -16443884, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099262465, 'ambient': 16775357, 'ppg0': -16465554, 'ppg1': -16475797, 'ppg2': -16443833, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099269872, 'ambient': 16775361, 'ppg0': -16465479, 'ppg1': -16475717, 'ppg2': -16443634, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735099277279, 'ambient': 16775416, 'ppg0': -16465323, 'ppg1': -16475709, 'ppg2': -16443604, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232635904, 'ambient': 16775519, 'ppg0': -16465526, 'ppg1': -16475720, 'ppg2': -16443889, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232643311, 'ambient': 16775368, 'ppg0': -16465252, 'ppg1': -16475623, 'ppg2': -16443643, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232650718, 'ambient': 16775391, 'ppg0': -16465240, 'ppg1': -16475649, 'ppg2': -16443597, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232658125, 'ambient': 16775351, 'ppg0': -16465171, 'ppg1': -16475624, 'ppg2': -16443560, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232665532, 'ambient': 16775374, 'ppg0': -16465105, 'ppg1': -16475549, 'ppg2': -16443542, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232672939, 'ambient': 16775238, 'ppg0': -16464944, 'ppg1': -16475489, 'ppg2': -16443481, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232680346, 'ambient': 16775274, 'ppg0': -16464984, 'ppg1': -16475427, 'ppg2': -16443532, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232687753, 'ambient': 16775380, 'ppg0': -16465084, 'ppg1': -16475521, 'ppg2': -16443497, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232695160, 'ambient': 16775309, 'ppg0': -16465103, 'ppg1': -16475563, 'ppg2': -16443567, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232702567, 'ambient': 16775382, 'ppg0': -16465118, 'ppg1': -16475530, 'ppg2': -16443664, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232709974, 'ambient': 16775375, 'ppg0': -16465191, 'ppg1': -16475550, 'ppg2': -16443665, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232717381, 'ambient': 16775367, 'ppg0': -16465211, 'ppg1': -16475604, 'ppg2': -16443710, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232724788, 'ambient': 16775390, 'ppg0': -16465174, 'ppg1': -16475574, 'ppg2': -16443710, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232732195, 'ambient': 16775362, 'ppg0': -16465311, 'ppg1': -16475687, 'ppg2': -16443800, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232739602, 'ambient': 16775325, 'ppg0': -16465256, 'ppg1': -16475712, 'ppg2': -16443816, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232747009, 'ambient': 16775334, 'ppg0': -16465243, 'ppg1': -16475626, 'ppg2': -16443795, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232754416, 'ambient': 16775358, 'ppg0': -16465221, 'ppg1': -16475658, 'ppg2': -16443838, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735232761823, 'ambient': 16775328, 'ppg0': -16465293, 'ppg1': -16475650, 'ppg2': -16443978, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366150144, 'ambient': 16775373, 'ppg0': -16465177, 'ppg1': -16475653, 'ppg2': -16444111, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366157551, 'ambient': 16775422, 'ppg0': -16465422, 'ppg1': -16475731, 'ppg2': -16444106, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366164958, 'ambient': 16775412, 'ppg0': -16465391, 'ppg1': -16475605, 'ppg2': -16443933, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366172365, 'ambient': 16775319, 'ppg0': -16465318, 'ppg1': -16475550, 'ppg2': -16443824, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366179772, 'ambient': 16775307, 'ppg0': -16465292, 'ppg1': -16475467, 'ppg2': -16443674, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366187179, 'ambient': 16775295, 'ppg0': -16465257, 'ppg1': -16475363, 'ppg2': -16443693, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366194586, 'ambient': 16775335, 'ppg0': -16465314, 'ppg1': -16475482, 'ppg2': -16443503, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366201993, 'ambient': 16775413, 'ppg0': -16465239, 'ppg1': -16475400, 'ppg2': -16443601, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366209400, 'ambient': 16775354, 'ppg0': -16465118, 'ppg1': -16475245, 'ppg2': -16443475, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366216807, 'ambient': 16775401, 'ppg0': -16465023, 'ppg1': -16474888, 'ppg2': -16443311, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366224214, 'ambient': 16775386, 'ppg0': -16464804, 'ppg1': -16474361, 'ppg2': -16443158, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366231621, 'ambient': 16775364, 'ppg0': -16464601, 'ppg1': -16473832, 'ppg2': -16442980, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366239028, 'ambient': 16775367, 'ppg0': -16464452, 'ppg1': -16473208, 'ppg2': -16442678, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366246435, 'ambient': 16775345, 'ppg0': -16464219, 'ppg1': -16472476, 'ppg2': -16442547, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366253842, 'ambient': 16775299, 'ppg0': -16463945, 'ppg1': -16471922, 'ppg2': -16442126, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366261249, 'ambient': 16775400, 'ppg0': -16463897, 'ppg1': -16471671, 'ppg2': -16442074, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366268656, 'ambient': 16775356, 'ppg0': -16463580, 'ppg1': -16471330, 'ppg2': -16441840, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735366276063, 'ambient': 16775359, 'ppg0': -16463349, 'ppg1': -16471138, 'ppg2': -16441638, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499664384, 'ambient': 16775433, 'ppg0': -16463169, 'ppg1': -16470782, 'ppg2': -16441645, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499671791, 'ambient': 16775329, 'ppg0': -16463008, 'ppg1': -16470692, 'ppg2': -16441279, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499679198, 'ambient': 16775351, 'ppg0': -16462863, 'ppg1': -16470516, 'ppg2': -16441044, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499686605, 'ambient': 16775331, 'ppg0': -16462627, 'ppg1': -16470502, 'ppg2': -16441047, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499694012, 'ambient': 16775294, 'ppg0': -16462501, 'ppg1': -16470211, 'ppg2': -16440829, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499701419, 'ambient': 16775455, 'ppg0': -16462431, 'ppg1': -16470162, 'ppg2': -16440830, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499708826, 'ambient': 16775447, 'ppg0': -16462262, 'ppg1': -16469989, 'ppg2': -16440511, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499716233, 'ambient': 16775393, 'ppg0': -16462049, 'ppg1': -16469813, 'ppg2': -16440362, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499723640, 'ambient': 16775367, 'ppg0': -16461915, 'ppg1': -16469620, 'ppg2': -16440194, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499731047, 'ambient': 16775375, 'ppg0': -16461781, 'ppg1': -16469538, 'ppg2': -16440092, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499738454, 'ambient': 16775365, 'ppg0': -16461633, 'ppg1': -16469558, 'ppg2': -16439974, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499745861, 'ambient': 16775483, 'ppg0': -16461635, 'ppg1': -16469627, 'ppg2': -16439856, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499753268, 'ambient': 16775427, 'ppg0': -16461442, 'ppg1': -16469434, 'ppg2': -16439689, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499760675, 'ambient': 16775352, 'ppg0': -16461274, 'ppg1': -16469280, 'ppg2': -16439471, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499768082, 'ambient': 16775378, 'ppg0': -16461053, 'ppg1': -16469187, 'ppg2': -16439241, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499775489, 'ambient': 16775376, 'ppg0': -16460805, 'ppg1': -16469007, 'ppg2': -16439028, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499782896, 'ambient': 16775314, 'ppg0': -16460578, 'ppg1': -16468815, 'ppg2': -16438784, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735499790303, 'ambient': 16775413, 'ppg0': -16460467, 'ppg1': -16468808, 'ppg2': -16438678, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
2025_01_06-11-17-04 {'ts': 536906735633178624, 'ambient': 16775445, 'ppg0': -16460182, 'ppg1': -16468552, 'ppg2': -16438501, 'ax': 0.108, 'ay': -1.111, 'az': 0.164}
